candidate,text
hillary,"we cannot demonize, demagogue, and declare war on an entire religion. that is dangerous and it plays into the hands of isis and other jihadist terrorists. to stand up against hate, we've got to stand up against terrorism, we've got to put aside our political differences, and we have to work together with determination. we may be in the middle of a heated election right now, but we can't let that distract us."
hillary,we have to stand together and be proud together. there is no better rebuke to the terrorists and all those who hate.
hillary,this is a moment when we all need to stand together. watch live as hillary speaks on the terrorist attack in orlando.
hillary,"\""me uno a los estadounidenses en sus oraciones por las víctimas del ataque, por sus familias y los equipos de primera intervención que hicieron todo lo posible para salvar vidas en orlando. "
hillary,
hillary,"esto fue un acto de terrorismo. las autoridades y las organizaciones de inteligencia están trabajando duro y vamos a saber más en las próximas horas y días. por ahora, podemos decir de seguro que tenemos que redoblar nuestros esfuerzos para defender a nuestro país de estas amenazas aquí y en el exterior. "
hillary,
hillary,"eso quiere decir derrotar redes terroristas internacionales trabajando con aliados y colaboradores para enfrentarlos donde quiera que se encuentren, confrontando sus intentos de reclutar personas aquí y en todos lados, así como fortalecer nuestra defensa doméstica. esto significa, además, rechazar el ser intimidado y permanecer fiel a nuestros valores.  "
hillary,
hillary,"esto también fue un acto de odio. el pistolero atacó una discoteca lgbt durante el mes de orgullo gay. para todas las personas lgbt: sepan que tienen millones de aliados por todo el país. yo soy una de ellos. continuaremos luchando por su derecho de vivir libre, abiertamente y sin miedo. el odio no tiene ningún lugar en los estados unidos. "
hillary,
hillary,"finalmente, tenemos que asegurar que las armas como las que fueron usadas anoche jamás caigan en las manos de terroristas y otros criminales violentos. este es el tiroteo más mortífero en la historia de los estados unidos y nos vuelve a recordar que las armas de guerra no tienen lugar en nuestras calles. "
hillary,
hillary,"este es un momento para unirnos y hacer todo lo que podamos para defender a nuestras comunidades y a nuestro país\"".—hillary clinton sobre el ataque terrorista en orlando"
hillary,"i join americans in praying for the victims of the attack in orlando, their families and the first responders who did everything they could to save lives.  "
hillary,
hillary,"this was an act of terror. law enforcement and intelligence agencies are hard at work, and we will learn more in the hours and days ahead. for now, we can say for certain that we need to redouble our efforts to defend our country from threats at home and abroad. that means defeating international terror groups, working with allies and partners to go after them wherever they are, countering their attempts to recruit people here and everywhere, and hardening our defenses at home. it also means refusing to be intimidated and staying true to our values."
hillary,
hillary,"this was also an act of hate. the gunman attacked an lgbt nightclub during pride month. to the lgbt community: please know that you have millions of allies across our country. i am one of them. we will keep fighting for your right to live freely, openly and without fear. hate has absolutely no place in america. "
hillary,
hillary,"finally, we need to keep guns like the ones used last night out of the hands of terrorists or other violent criminals. this is the deadliest mass shooting in the history of the united states and it reminds us once more that weapons of war have no place on our streets.  "
hillary,
hillary,this is a time to stand together and resolve to do everything we can to defend our communities and country.
hillary,"“ella tiene la valentía, la compasión y el corazón para realizar el trabajo”. mira el mensaje del presidente obama."
hillary,"when history's in the making, sleep can wait."
hillary,"“simply put, hillary clinton is the best chance for working americans to build on the progress we have made over the past eight years. she has the experience and the ideas to lead our country to a brighter future, and we enthusiastically support her candidacy for the presidency.”"
hillary,na
hillary,
hillary,
bernie,
bernie,my supporters and i want real change in this country. here’s what we want.
bernie,"millions of seniors, disabled veterans and people with disabilities are falling further and further behind on $10,000 or $11,000 a year social security. it is time to expand social security, not cut it."
bernie,eric kingson has led the fight to protect and expand social security. he even had the courage to challenge the president when he considered cuts years ago. his election is in just a few days. help make calls to get this progressive elected in new york!
bernie,na
bernie,"this is the energy we need to transform the democratic party, take on special interests and transform our country."
bernie,the political revolution continues
bernie,"health care is a right, not a privilege."
bernie,"one year ago, one of the biggest crowds we had gotten showed up in denver to hear bernie sanders tell them they were sending a message to the billionaire class that “you can’t have it all. this is our country too.”"
bernie,
bernie,"all these ideas, would continue to resonate with the american people. little did we know, they would resonate so fast."
bernie,this is your movement.
bernie,"in many inner cities, kids now stand a greater chance of ending up in jail than ending up with a college degree. that's gotta end."
bernie,"standing together, we will create the grassroots political revolution that this country needs. #votetogether "
bernie,bernie.to/votetogether
bernie,"we have come a long way in new hampshire over the last few months. please come out to vote tomorrow tonight. bring your friends, your neighbors, and your family. berniesanders.com/nhvotes"
bernie,"del lado demócrata, el senador bernie sanders ha mostrado que él está liderando en reforma migratoria, proponiendo una plataforma audaz que va más allá que la de cualquier otro candidato."
bernie,"families are struggling to put bread on the table, send their kids to college and take care of their basic needs. if people work 40 hours a week, they should not be living in poverty."
bernie,"if you want at least four more years of larry david on snl, vote for bernie!"
bernie,told ya we aren't the same person. #bernieonsnl
bernie,what did i think of the #gopdebate? not good enough. tune in to saturday night live for a special episode instead!
bernie,"a few days ago, the people of iowa showed that, against all odds, our political revolution has a chance to win this election. i know that if we stand together, we can do even better in new hampshire next week. when millions of people stand together, they win."
bernie,el derecho a la libertad de expresión no otorga el derecho a comprar al gobierno de estados unidos.
bernie,eliza dushku spent part of the week volunteering for bernie sanders and she has a special message for nh voters. help gotv by signing up for a volunteer shift near you: berniesanders.com/win
bernie,this campaign is based upon a very simple principle: real change never comes from the top on down. it always comes from the bottom up.
bernie,danny glover has used his celebrity status in the fight for racial economic justice and i thank him for that.
bernie,"\""senator sanders stood up when he didn't have to stand up as a young man. the way to define the character of a person is what they do when the cameras are not on. what they do when they don't benefit from it personally. he is a champion for civil rights and social justice in this country - the time is right, and the cause is now.\"" - nina turner"
bernie,"no podemos y no debemos proponer la redada de millones de hombres, mujeres y niños — muchos de los cuales han vivido en estados unidos por años — y echarlos del país injustamente."
bernie,
bernie,"we cannot and we should not sweep up millions of men, women and children, many of whom have been in the united states for years, and throw them out of the country"
bernie,"\""we need politicians who will stand with us and all the other indian territories that oppose these pipelines being built on our lands.\"" - winona laduke #keepitintheground"
bernie,"my spirituality is that we are all in it together as human beings. when you hurt, when your children hurt, i hurt."
bernie,"la secretaria clinton está equivocada. nosotros no debemos poner a ningún niño en peligro por ‘enviarle un mensaje’ a nadie. por esa justa razón, el senador sanders ha propuesto una plataforma inmigratoria seria e integral que se enfoca en proteger a los niños y en mantener a las familias unidas. ha llegado la hora de que la secretaria clinton haga lo mismo."
bernie,your work could mean the difference between winning or losing upcoming states for bernie.
bernie,"nebraska and kansas, you're up next. make sure to rsvp below to get more information about your caucus tomorrow. remember: when we stand together, we will always win. i urge you to go out and caucus. #gotvforbernie"
bernie,"american democracy is one person, one vote – with every citizen having an equal say – and no voter suppression."
bernie,"#tbt to august 28, 1963… an unforgettable day and a defining moment in my life."
bernie,"in the next few days, voters in 4 states will have the chance to vote for the candidate they hope to see as the democratic nominee for president of the united states. kansas, louisiana and nebraska i urge you to go out and vote this saturday. maine, please caucus on sunday. for more voting information go to vote.berniesanders.com."
bernie,"fifteen states have voted, 35 remain. millions of voters need to hear from volunteers like you over the next few weeks to make this political revolution a reality. please help us contact voters in critical march states."
bernie,"it's become clear that no mass shooting, no matter how big or bloody, will inspire republicans to put children and innocent americans over the interests of the nra. they are simply more loyal to gun lobbyists than our children. there are very concrete steps we can take to lessen the number of tragedies and to make those that happen less lethal, including ideas supported by a majority of gun owners. we must strengthen and better enforce the instant background check system. we must close the gun-show loophole, which allows unlicensed dealers to sell guns to people who otherwise would not be able to get them. we must make ‘straw man’ purchases a federal crime. we must ban semi-automatic assault weapons which are designed strictly for killing human beings. we must recognize that our mental health system is seriously broken."
bernie,"if we are serious about rebuilding the middle class and creating the millions of good paying jobs we desperately need, we must fundamentally rewrite our trade policies."
bernie,we have more billionaires in this country than any other nation. we also have more child poverty than nearly every other major nation.
bernie,"asean johnson has been fighting for chicago schools since he was nine. needless to say, he doesn't want rahm emanuel's endorsement either."
bernie,"take two minutes and watch this video on why troy laraviere, a chicago school principal, supports our campaign for president."
bernie,bernie's on snapchat! add us by using this snapcode or looking us up by username: bernie.sanders.
bernie,i want to thank rahm emanuel for not endorsing me. i don't want the endorsement of a mayor shutting down schools and firing teachers.
bernie,"we do things a little different in this campaign: we bring people together. no, we are not gonna hate mexicans. we are not gonna hate muslims. we are not gonna insult women. we are not gonna insult veterans. we’re not gonna insult african-americans. we will not allow the donald trumps of the world to divide us up. if we do not allow them to divide us up by race, by sexual orientation, by gender, by whether we were born in america or whether we are immigrants—when we stand together as white, black, hispanic, gay, straight, women and men—when we stand together and demand that this country works for all of us rather than the few, we will transform america. that's what we are going to do: we are going to bring our people together."
bernie,let me tell you something about our country that the billionaire class doesn’t want you to know...
bernie,"es momento de que la gente gobierne, no los bancos ni los multimillonarios. Únete a la lucha."
bernie,
bernie,"this government belongs to all of us, not just a wealthy few. that is what this campaign is about."
bernie,looks like florida is ready for a political revolution! #feelthebern
bernie,the fight against injustice and inequality has been the work of bernie's life.
bernie,"the politicians who suppress your democracy by using strict voter id laws and discriminatory congressional districts are cowards. we should embrace and encourage voter participation, not suppress it."
bernie,mark ruffalo and matthew cooke are right. the owners of this country want you to give up on the political process. but i am urging you: do not give into that despair.
bernie,making public colleges and universities tuition-free is not unrealistic. it's necessary. — sara goldrick-rab
bernie,climate change is already having devastating effects across the world. it’s too late for incremental change. we must act boldly. i am proud to have introduced the most comprehensive climate change legislation in the history of the united states senate. i recognize it's a bold peice of legislation. but i do not believe it is pie-in-the-sky to leave this planet habitable to our grandchildren.
bernie,"here's a radical idea: how about we start investing in jobs and education for our young people, rather than more jails and incarceration."
bernie,we need a new approach to trade in this country — one that benefits working families and not just the ceos of multinational corporations.
bernie,"join me monday, april 4 for a #wiprimary rally in milwaukee with the summer set, 3oh!3 and others!"
bernie,every success by bernie is met with a story or column or talking head whose message is “but he can’t possibly win.” that's the media refrain because the democratic establishment can't conceive of the possibility bernie will win. that's because they aren't listening to bernie's message and its resonance among democratic and independent voters (as well as many republicans). they don't know how determined americans are to reverse the increasing concentration of wealth and political power that are eroding our economy and democracy. - robert reich
bernie,"on tuesday, april 5, there is going to be a very important democratic primary in wisconsin. let's send a very strong message to gov. walker that his voter suppression efforts will not work. join the political revolution!"
bernie,how did we have so much money to go to war in iraq but somehow we don't have enough to rebuild the pipes in flint? #flintwatercrisis
bernie,na
bernie,"millions of people are finally starting to believe that they can be a driving force in their country. that is what it means when we say \""not me, us.\"" this is a political revolution where everyone needs to stand up and demand that the government work for everyone, not just the ones on top."
bernie,"one month ago, we were down 48 points in new york. with just one day to go until the primary, we’ve cut the lead in hillary clinton’s home state all the way down to six. if we win in new york tomorrow, it’d be the most shocking upset in modern political history. new york – go out and vote."
bernie,"mark ruffalo and bernie took a walk through the brooklyn, new york school yards where bernie grew up, and talked about his childhood, why he got involved in the civil rights movement and how those experiences translated into his life in politics and this movement. (directed by matthew cooke)"
bernie,this is the wealthiest country in the history of the world. people should not be forced to live in dilapidated housing. there is an affordable housing crisis in new york and all over america that we have got to address.
bernie,"when we stand together, there is nothing we cannot accomplish. but it will take a movement. join us. help us win new york and then the democratic nomination. call voters right now."
bernie,"do washington politicians side with polluters over families? they sure do, because big oil pumps millions into their campaigns. bernie sanders is the only candidate for president who opposes fracking everywhere. – susan sarandon"
bernie,"residente, ex-vocalist from calle 13 and multiple grammy and latin grammy award winner, speaks to senator bernie sanders regarding issues dealing with puerto rico and latin america, and his love of baseball. "
bernie,
bernie,"residente, ex-vocalista de calle 13 y ganador de premios grammy y grammy latino, habla con el senador bernie sanders sobre asuntos relacionados con puerto rico y américa latina, y de su amor por el béisbol."
bernie,"whoa! 28,356 came out to prospect park, brooklyn – our largest rally yet. thank you!"
bernie,
bernie,this is a campaign that is on the move. with your help on tuesday we’re going to win right here in new york.
bernie,"\""banking is the least understood, and possibly most lethal, of all the myriad issues at stake in this election. no candidate other than bernie sanders is capable of taking the steps necessary to protect the american people from a repeat of the recent debacle that plunged the nation into a recession from which we have not recovered...bernie sanders is the only candidate who escapes the malaise of being bought. he is paid for by the people and represents their interests. and you can take that to the bank.\"" - asher edelman, the real life gordon gekko "
bernie,
bernie,"(this video was produced and directed by matthew cooke, and is a part of an ongoing series)"
bernie,"a win on tuesday will shock the establishment, prove we can win anywhere, and move us down the path to the nomination. so don't miss out on your chance to play a big role in american political history – by calling new york voters now: http://bernie.to/callnynow"
bernie,"today's leaks prove that the so-called us-eu trade agreement has little to do with \""free trade\"" and everything to do with increasing the power of wall street banks, pharmaceutical companies and big oil. getting rid of regulations that protect workers and the environment may be good for corporate profits, but it would be a disaster for the american people. a trade agreement with europe could give us an historic opportunity to improve the rights of workers, the environment, and consumer protections. unfortunately, today's leaks show that this trade deal would do the exact opposite by continuing the race to the bottom. as president, sen. sanders will not agree to any trade deal that deregulates wall street, undermines american laws, increases the price of prescription drugs, threatens food safety and allows foreign corporations to challenge laws that would reduce their expected future profits before an international tribunal. trade is a good thing, but it has got to be fair."
bernie,"\""you cannot exploit a broken campaign finance system one day and vow to get big money out of politics the next.” – jeff weaver, bernie 2016 campaign manager"
bernie,
bernie,"“secretary clinton has exploited the rules in ways that let her high-dollar donors like alice walton of wal-mart fame and the actor george clooney and his super-rich hollywood friends skirt legal limits on campaign contributions. if secretary clinton can’t raise the funds needed to run in a competitive primary without resorting to laundering, how will she compete against donald trump in a general election?”"
bernie,"george clooney is right: the powerful influence of money in politics is obscene, and it is my belief that you cannot do away with big money in politics if your campaign is funded by big money."
bernie,"millions of americans lost their jobs, their homes and their life savings because of a handful of people on wall street. their greed and dishonesty have wrought destruction upon countless americans, and we will no longer tolerate this broken system."
bernie,here's the reality: the status quo is not enough. we need real change. and we're not gonna get that by tinkering at the margins.
bernie,
bernie,do not settle for the status quo when the status quo is broken.
bernie,"the democratic party, up until now, has not been clear on which side they are on on the major issues facing this country. you can’t be for wall street and the working people of this country. you cannot be for the drug companies and senior citizens and veterans. you cannot be on the side of workers and support those corporations that have thrown millions on the street."
bernie,"something special is happening in indiana. thousands of people are coming together to help our campaign win tuesday's election. can you be a part of this moment by volunteering for a shift to help turn out the vote for our campaign? when indiana votes on tuesday, you'll want to say you were a part of it."
bernie,"en nuestro país, la clase trabajadora actualmente está enfrentando la más profunda crisis económica desde la gran depresión."
bernie,"the panama free trade agreement was something that i very strongly opposed, which has made it easier for wealthy people and corporations all over the world to avoid paying taxes owed to their countries. we must put an end to this kind of tax evasion."
bernie,"there is nothing more important than ensuring a clean and habitable planet for our children, grandchildren and future generations beyond. we must stand together and act on climate change."
bernie,"you are the reason that we are the best campaign to defeat trump. it’s your energy, excitement, and grassroots activism making it possible."
bernie,looks like east l.a. is ready for a political revolution! tune in live to #bernieineastla here!
bernie,california – to vote for bernie on june 7th you must be registered by today! register right now.
bernie,
